Estado,Municipio,RiscoFogo,FRP
PARÁ,NOVO REPARTIMENTO,0.9,9.2
PARÁ,PACAJÁ,0.94,6.0
PARÁ,PACAJÁ,0.62,39.9
PARÁ,SÃO DOMINGOS DO CAPIM,0.6,12.3
PARÁ,SENADOR JOSÉ PORFÍRIO,0.9,17.5
PARÁ,PORTEL,0.94,11.3
PARÁ,PRAINHA,1.0,104.2
MARANHÃO,CIDELÂNDIA,0.25,32.5
MARANHÃO,CÂNDIDO MENDES,1.0,15.5
MARANHÃO,BOM JARDIM,0.91,7.2
MARANHÃO,GOVERNADOR NUNES FREIRE,0.99,25.1
PARÁ,CAMETÁ,0.33,11.3
PARÁ,PRAINHA,1.0,46.8
PARÁ,OEIRAS DO PARÁ,0.36,8.2
AMAPÁ,PRACUÚBA,0.86,12.4
PARÁ,NOVO REPARTIMENTO,0.84,11.4
PARÁ,GURUPÁ,0.27,11.6
PARÁ,ÓBIDOS,0.85,41.8
PARÁ,ORIXIMINÁ,0.95,120.5
PARÁ,PACAJÁ,0.58,86.0
PARÁ,ANAPU,0.87,10.8
PARÁ,PARAGOMINAS,1.0,16.7
PARÁ,SANTARÉM,0.89,33.7
PARÁ,PORTEL,0.51,31.1
PARÁ,PORTEL,0.58,5.9
AMAPÁ,PRACUÚBA,0.62,9.3
AMAPÁ,MAZAGÃO,0.64,6.5
PARÁ,ITUPIRANGA,1.0,28.4
PARÁ,NOVA ESPERANÇA DO PIRIÁ,0.89,14.5
PARÁ,TAILÂNDIA,0.72,10.4
AMAZONAS,SÃO SEBASTIÃO DO UATUMÃ,0.31,34.6
PARÁ,GURUPÁ,0.01,5.9
AMAZONAS,NHAMUNDÁ,0.52,56.3
PARÁ,PACAJÁ,0.93,59.1
PARÁ,PRAINHA,1.0,134.8
PARÁ,ALMEIRIM,0.9,10.1
PARÁ,PRAINHA,1.0,387.0
PARÁ,GOIANÉSIA DO PARÁ,0.79,15.0
PARÁ,PACAJÁ,0.87,12.1
PARÁ,PRAINHA,1.0,1461.5
PARÁ,NOVO REPARTIMENTO,0.95,17.6
PARÁ,NOVO REPARTIMENTO,0.97,31.0
AMAPÁ,AMAPÁ,0.96,12.3
MARANHÃO,CIDELÂNDIA,0.25,26.4
PARÁ,ORIXIMINÁ,0.19,133.5
AMAPÁ,AMAPÁ,1.0,15.2
PARÁ,ÓBIDOS,0.79,60.1
PARÁ,MEDICILÂNDIA,0.98,18.9
AMAPÁ,VITÓRIA DO JARI,1.0,23.4
PARÁ,MOJU,0.48,9.3
AMAPÁ,MAZAGÃO,0.7,13.8
AMAZONAS,SÃO SEBASTIÃO DO UATUMÃ,0.31,28.3
PARÁ,TOMÉ-AÇU,0.86,8.3
PARÁ,SANTARÉM,1.0,47.7
MARANHÃO,VITÓRIA DO MEARIM,1.0,17.2
PARÁ,OEIRAS DO PARÁ,0.75,41.9
PARÁ,NOVO REPARTIMENTO,1.0,18.4
PARÁ,MOJU,0.52,6.7
MARANHÃO,SÃO PEDRO DA ÁGUA BRANCA,1.0,27.7
PARÁ,GURUPÁ,0.79,14.2
PARÁ,OEIRAS DO PARÁ,0.38,6.5
PARÁ,PORTO DE MOZ,1.0,37.5
AMAPÁ,MAZAGÃO,0.35,13.8
AMAPÁ,PRACUÚBA,0.95,54.6
PARÁ,IPIXUNA DO PARÁ,0.97,10.7
PARÁ,RURÓPOLIS,0.51,20.5
PARÁ,JURUTI,0.65,48.6
PARÁ,PRAINHA,0.94,20.2
PARÁ,MELGAÇO,0.35,6.7
PARÁ,MELGAÇO,0.17,9.1
PARÁ,ANAPU,0.84,12.5
PARÁ,BREU BRANCO,0.64,20.4
AMAPÁ,VITÓRIA DO JARI,0.37,12.2
PARÁ,ACARÁ,1.0,8.2
PARÁ,PORTO DE MOZ,0.84,15.6
PARÁ,PRAINHA,1.0,425.1
AMAPÁ,VITÓRIA DO JARI,0.34,10.2
PARÁ,BUJARU,0.43,13.2
PARÁ,FARO,0.52,49.7
MARANHÃO,GOVERNADOR NUNES FREIRE,1.0,55.2
PARÁ,PORTEL,0.49,6.8
PARÁ,MELGAÇO,0.34,11.2
PARÁ,NOVO REPARTIMENTO,0.92,11.0
PARÁ,SENADOR JOSÉ PORFÍRIO,0.96,24.0
PARÁ,ALTAMIRA,0.03,17.1
PARÁ,RONDON DO PARÁ,0.35,38.7
PARÁ,MEDICILÂNDIA,1.0,20.3
MARANHÃO,SANTA LUZIA,1.0,12.4
PARÁ,PORTEL,0.52,7.3
PARÁ,PORTEL,0.38,11.8
PARÁ,CAMETÁ,0.31,5.1
MARANHÃO,MIRANDA DO NORTE,1.0,44.0
PARÁ,IGARAPÉ-MIRI,0.15,45.0
RORAIMA,CAROEBE,0.89,33.3
PARÁ,TUCURUÍ,0.4,18.1
AMAPÁ,VITÓRIA DO JARI,0.4,11.9
AMAPÁ,MAZAGÃO,0.86,23.7
PARÁ,PACAJÁ,0.64,39.4
PARÁ,SÃO FÉLIX DO XINGU,0.77,15.2
MARANHÃO,PAULO RAMOS,1.0,19.6
MARANHÃO,SANTA HELENA,1.0,17.7
PARÁ,RONDON DO PARÁ,0.59,52.0
PARÁ,URUARÁ,1.0,20.5
PARÁ,CAMETÁ,0.33,13.1
PARÁ,SANTARÉM,1.0,15.6
AMAPÁ,VITÓRIA DO JARI,0.27,20.4
PARÁ,BELTERRA,0.73,15.4
MARANHÃO,PRESIDENTE MÉDICI,1.0,14.8
PARÁ,BAIÃO,0.28,5.7
PARÁ,RONDON DO PARÁ,0.53,170.3
PARÁ,ACARÁ,0.19,89.1
PARÁ,SALVATERRA,0.83,7.9
PARÁ,MEDICILÂNDIA,0.93,165.6
PARÁ,MEDICILÂNDIA,1.0,15.8
PARÁ,PRAINHA,0.97,81.7
PARÁ,ORIXIMINÁ,0.42,44.2
PARÁ,NOVO REPARTIMENTO,0.96,20.6
PARÁ,GURUPÁ,0.92,49.5
PARÁ,SENADOR JOSÉ PORFÍRIO,0.9,16.9
PARÁ,TUCURUÍ,0.95,7.9
PARÁ,OEIRAS DO PARÁ,0.28,6.3
PARÁ,ANAPU,0.7,18.5
PARÁ,PORTEL,0.31,29.3
MARANHÃO,CIDELÂNDIA,0.78,6.2
AMAPÁ,MAZAGÃO,0.61,10.8
MARANHÃO,PRESIDENTE MÉDICI,1.0,19.5
PARÁ,ACARÁ,0.16,77.2
MARANHÃO,SANTA LUZIA,0.92,325.7
PARÁ,PORTEL,0.83,14.0
MARANHÃO,BOM JARDIM,0.98,8.8
PARÁ,BAGRE,0.58,15.7
PARÁ,MELGAÇO,0.53,13.2
PARÁ,NOVO REPARTIMENTO,1.0,11.5
PARÁ,ANAPU,0.85,10.7
MARANHÃO,ITAIPAVA DO GRAJAÚ,1.0,8.0
PARÁ,MEDICILÂNDIA,1.0,25.3
PARÁ,PACAJÁ,0.78,56.1
MARANHÃO,PEDRO DO ROSÁRIO,1.0,18.3
PARÁ,MEDICILÂNDIA,0.98,27.2
PARÁ,PACAJÁ,0.85,52.1
PARÁ,BAGRE,0.42,46.7
PARÁ,URUARÁ,0.9,21.8
PARÁ,ITUPIRANGA,1.0,127.9
MARANHÃO,MONÇÃO,1.0,22.2
PARÁ,SENADOR JOSÉ PORFÍRIO,0.93,23.0
PARÁ,MOJU,0.32,16.4
AMAZONAS,BARREIRINHA,0.35,79.4
PARÁ,ITUPIRANGA,0.97,16.5
PARÁ,MOJU,0.4,17.9
PARÁ,PACAJÁ,1.0,21.3
PARÁ,OEIRAS DO PARÁ,0.24,7.1
PARÁ,PACAJÁ,0.98,20.3
PARÁ,MOCAJUBA,0.27,18.4
PARÁ,PORTO DE MOZ,0.97,8.7
MARANHÃO,SANTA LUZIA,1.0,14.6
PARÁ,PORTEL,0.77,7.7
PARÁ,PACAJÁ,0.75,387.1
PARÁ,MEDICILÂNDIA,1.0,23.9
PARÁ,URUARÁ,1.0,50.4
MARANHÃO,TURILÂNDIA,1.0,15.9
PARÁ,JURUTI,0.65,23.9
AMAPÁ,PRACUÚBA,0.87,7.9
PARÁ,PRAINHA,0.94,52.0
PARÁ,IGARAPÉ-MIRI,0.05,11.0
MARANHÃO,ZÉ DOCA,1.0,11.7
PARÁ,VISEU,0.92,180.3
MARANHÃO,BOM JARDIM,0.89,38.3
PARÁ,NOVO REPARTIMENTO,1.0,28.9
PARÁ,ITUPIRANGA,1.0,7.0
PARÁ,GURUPÁ,0.99,10.9
ACRE,RODRIGUES ALVES,0.05,7.6
ACRE,BRASILÉIA,0.02,15.5
ACRE,MÂNCIO LIMA,0.0,9.9
MARANHÃO,GUIMARÃES,0.0,54.4
