date,Brasil,Amazonia_Legal
2012,6.4,29.1
2013,6.4,33.1
2014,6.2,30.7
2015,6.0,35.1
2016,5.7,36.0
2017,5.7,31.9
2018,5.7,32.3
2019,5.6,43.4
2020,5.4,39.4
2021,5.6,48.4
2022,5.9,44.1
